metric_name,window,trend_category,latest_value,baseline_value,delta,sample_count,history_status,evidence_origin_mix
replay_quality_score,full,stable,4,5,-1,3,available,scenario-evidence
replay_quality_score,rolling_3,stable,4,5,-1,3,available,scenario-evidence
replay_quality_score,rolling_5,stable,4,5,-1,3,available,scenario-evidence
analytics_average_score,full,insufficient_history,51.6667,51.6667,0,1,insufficient_history,unknown
analytics_average_score,rolling_3,insufficient_history,51.6667,51.6667,0,1,insufficient_history,unknown
analytics_average_score,rolling_5,insufficient_history,51.6667,51.6667,0,1,insufficient_history,unknown
expected_topics_present_pct,full,insufficient_history,,,,0,insufficient_history,scenario-evidence
expected_topics_present_pct,rolling_3,insufficient_history,,,,0,insufficient_history,scenario-evidence
expected_topics_present_pct,rolling_5,insufficient_history,,,,0,insufficient_history,scenario-evidence
marker_alignment_pct,full,insufficient_history,,,,0,insufficient_history,scenario-evidence
marker_alignment_pct,rolling_3,insufficient_history,,,,0,insufficient_history,scenario-evidence
marker_alignment_pct,rolling_5,insufficient_history,,,,0,insufficient_history,scenario-evidence
runtime_qualification_passed_count,full,insufficient_history,14,14,0,1,insufficient_history,unknown
runtime_qualification_passed_count,rolling_3,insufficient_history,14,14,0,1,insufficient_history,unknown
runtime_qualification_passed_count,rolling_5,insufficient_history,14,14,0,1,insufficient_history,unknown
gate_status_indicator,full,insufficient_history,1,1,0,1,insufficient_history,unknown
gate_status_indicator,rolling_3,insufficient_history,1,1,0,1,insufficient_history,unknown
gate_status_indicator,rolling_5,insufficient_history,1,1,0,1,insufficient_history,unknown
